"city","latitude","longitude","temp","humidity","wind_speed","cloud","region","population","date","season","avg_sun_hours"
"Adani","6.63","7.12","311.94","31","1.36","46","Anambra","14905","2024-02-21","dry","4.195103896182817"
"Adani","6.63","7.12","303.45","64","1.36","87","Anambra","14905","2024-02-22","dry","3.043833361540092"
"Adani","6.57","6.9","304.22","61","1.3","98","Anambra","20187","2024-02-22","dry","2.8641563900678753"
"Adani","6.55","6.94","303.88","63","1.29","98","Anambra","16986","2024-02-22","dry","3.1800870089838758"
"Adani","6.6","6.95","303.96","62","1.29","96","Anambra","16986","2024-02-22","dry","3.330611152651873"
"Adani","6.58","6.9","304.28","61","1.31","97","Anambra","19626","2024-02-22","dry","2.846517855426898"
"Adani","6.7","6.98","304.59","60","1.32","90","Anambra","17759","2024-02-22","dry","2.9277813729929694"
"Adani","6.61","6.93","304.34","61","1.31","96","Anambra","18052","2024-02-22","dry","2.6027275317779264"
"Adani","6.69","6.95","304.6","59","1.33","92","Anambra","17452","2024-02-22","dry","3.377476506225701"
"Adani","6.63","7.12","307.54","25","2.91","99","Anambra","14905","2024-02-23","dry","3.1142098054773495"
"Adani","6.57","6.9","307.42","33","2.91","91","Anambra","20187","2024-02-23","dry","3.5380026755112652"
"Adani","6.55","6.94","307.2","34","2.87","94","Anambra","16986","2024-02-23","dry","3.0818845764201"
"Adani","6.6","6.95","307.33","30","2.83","96","Anambra","16986","2024-02-23","dry","3.019022619672143"
"Adani","6.58","6.9","307.48","33","2.91","92","Anambra","19626","2024-02-23","dry","2.829868470057039"
"Adani","6.7","6.98","308.09","24","2.71","100","Anambra","17759","2024-02-23","dry","2.6077071496216604"
"Adani","6.61","6.93","307.65","30","2.86","95","Anambra","18052","2024-02-23","dry","2.7949656700431116"
"Adani","6.69","6.95","308.01","25","2.8","99","Anambra","17452","2024-02-23","dry","2.5443227892803044"
"Adani","6.57","6.9","300.33","29","1.11","100","Anambra","20187","2024-02-24","dry","3.01789579196903"
"Adani","6.55","6.94","300.27","30","1.07","100","Anambra","16986","2024-02-24","dry","2.7615763001425666"
"Adani","6.6","6.95","300.02","30","0.98","100","Anambra","16986","2024-02-24","dry","2.9644859790424825"
"Adani","6.58","6.9","300.32","30","1.09","100","Anambra","19626","2024-02-24","dry","3.087722671962767"
"Adani","6.7","6.98","299.99","31","0.8","100","Anambra","17759","2024-02-24","dry","2.9005207387510397"
"Adani","6.61","6.93","300.27","30","0.99","100","Anambra","18052","2024-02-24","dry","3.206420559610245"
"Adani","6.69","6.95","300.02","30","0.85","100","Anambra","17452","2024-02-24","dry","2.9102615684893856"
"Adani","6.63","7.12","309.42","20","3.4","100","Anambra","14905","2024-02-25","dry","2.641010464557976"
"Adani","6.57","6.9","310.4","19","2.79","100","Anambra","20187","2024-02-25","dry","2.99129796815409"
"Adani","6.55","6.94","310.28","19","2.9","100","Anambra","16986","2024-02-25","dry","2.799843473314357"
"Adani","6.6","6.95","310.2","19","2.9","100","Anambra","16986","2024-02-25","dry","3.1120914243568087"
"Adani","6.58","6.9","310.43","19","2.78","100","Anambra","19626","2024-02-25","dry","2.7241376537952404"
"Adani","6.7","6.98","310.48","19","2.95","100","Anambra","17759","2024-02-25","dry","2.7170930381918557"
"Adani","6.61","6.93","310.49","19","2.84","100","Anambra","18052","2024-02-25","dry","2.502527276086297"
"Adani","6.69","6.95","310.5","19","2.86","100","Anambra","17452","2024-02-25","dry","2.5203260777248047"
"Adani","6.63","7.12","306.03","37","1.14","92","Anambra","14905","2024-02-26","dry","3.3057690750845956"
"Adani","6.57","6.9","306.9","37","1.71","91","Anambra","20187","2024-02-26","dry","3.2783007272317715"
"Adani","6.55","6.94","306.83","37","1.69","93","Anambra","16986","2024-02-26","dry","2.6936853339308295"
"Adani","6.6","6.95","306.57","37","1.63","92","Anambra","16986","2024-02-26","dry","3.327864449068094"
"Adani","6.58","6.9","306.89","37","1.71","90","Anambra","19626","2024-02-26","dry","2.936454777786389"
"Adani","6.7","6.98","306.51","38","1.57","90","Anambra","17759","2024-02-26","dry","3.0099322605844647"
"Adani","6.61","6.93","306.82","37","1.65","91","Anambra","18052","2024-02-26","dry","3.2414341769772816"
"Adani","6.69","6.95","306.55","37","1.62","89","Anambra","17452","2024-02-26","dry","3.02855358907876"
"Adani","6.63","7.12","302.87","65","2.05","4","Anambra","14905","2024-02-27","dry","6.078967889549581"
"Adani","6.57","6.9","303.44","64","1.8","3","Anambra","20187","2024-02-27","dry","6.065797327115699"
"Adani","6.55","6.94","303.39","64","1.83","3","Anambra","16986","2024-02-27","dry","5.470243214467205"
"Adani","6.6","6.95","303.22","64","1.86","3","Anambra","16986","2024-02-27","dry","5.6997729674947"
"Adani","6.58","6.9","303.44","64","1.81","4","Anambra","19626","2024-02-27","dry","6.178126076982958"
"Adani","6.7","6.98","303.36","64","1.96","5","Anambra","17759","2024-02-27","dry","5.962929020990738"
"Adani","6.61","6.93","303.46","64","1.85","4","Anambra","18052","2024-02-27","dry","6.0859128522437125"
"Adani","6.69","6.95","303.34","64","1.92","5","Anambra","17452","2024-02-27","dry","5.429357456451148"
"Agulu","6.12","7.03","310.22","33","1.61","72","Anambra","195775","2024-02-21","dry","3.2563582548125556"
"Agulu","6.1","7.06","309.76","34","1.56","76","Anambra","98570","2024-02-21","dry","3.5130974711829333"
"Agulu","6.04","7.21","309.85","35","1.63","84","Anambra","59579","2024-02-21","dry","3.456752146818569"
"Agulu","6.03","7.2","309.88","35","1.74","85","Anambra","60340","2024-02-21","dry","3.0626536671809657"
"Agulu","6.13","7.23","310.34","34","1.08","79","Anambra","48859","2024-02-21","dry","3.39348655018281"
"Agulu","6.09","7.24","310.13","34","1.13","82","Anambra","50202","2024-02-21","dry","3.636453741847209"
"Agulu","6.14","7.07","310.71","33","1.47","71","Anambra","91939","2024-02-21","dry","3.7650195384680667"
"Agulu","6.06","7.08","309.26","35","1.66","81","Anambra","74880","2024-02-21","dry","3.5549544246300275"
"Agulu","6.08","7.14","310.41","34","1.43","80","Anambra","56283","2024-02-21","dry","3.5712977244344457"
"Agulu","6.04","7.17","310.23","35","1.67","84","Anambra","59043","2024-02-21","dry","3.2958380596604626"
"Agulu","6.05","7.13","309.41","35","1.64","83","Anambra","55265","2024-02-21","dry","3.780096911213462"
"Agulu","6.1","7.02","310.08","34","1.67","74","Anambra","172910","2024-02-21","dry","4.072924817724387"
"Agulu","6.11","7.08","310.43","34","1.48","75","Anambra","43449","2024-02-21","dry","3.3299892039546384"
"Agulu","6.11","7.1","310.3","34","1.42","76","Anambra","45611","2024-02-21","dry","3.565375548373325"
"Agulu","6.08","7.19","309.9","34","1.32","81","Anambra","57209","2024-02-21","dry","3.511262329258501"
"Agulu","6.15","7.1","310.6","33","1.39","71","Anambra","67838","2024-02-21","dry","4.138598610134515"
"Agulu","6.03","7.25","310.09","34","1.71","85","Anambra","57921","2024-02-21","dry","3.711218169022403"
"Agulu","6.07","7.25","309.93","34","1.26","83","Anambra","52471","2024-02-21","dry","3.723361443731379"
"Agulu","6.12","7.03","301.42","72","2.16","98","Anambra","195775","2024-02-22","dry","2.7926278593345004"
"Agulu","6.1","7.06","301.17","73","2.18","98","Anambra","98570","2024-02-22","dry","3.153001648172084"
"Agulu","6.04","7.21","301.49","75","2.2","99","Anambra","59579","2024-02-22","dry","2.887786739574841"
"Agulu","6.03","7.2","301.57","75","2.22","100","Anambra","60340","2024-02-22","dry","2.698343562440055"
"Agulu","6.13","7.23","301.78","74","2.04","98","Anambra","48859","2024-02-22","dry","2.9121638365691283"
"Agulu","6.09","7.24","301.64","75","2.1","99","Anambra","50202","2024-02-22","dry","2.801911781344352"
"Agulu","6.14","7.07","301.79","72","2.1","97","Anambra","91939","2024-02-22","dry","2.837146184247345"
"Agulu","6.06","7.08","301.02","74","2.24","99","Anambra","74880","2024-02-22","dry","2.989432444428696"
"Agulu","6.08","7.14","301.97","74","2.17","99","Anambra","56283","2024-02-22","dry","2.8349838655125654"
"Agulu","6.04","7.17","301.96","75","2.22","99","Anambra","59043","2024-02-22","dry","3.0417085298218427"
"Agulu","6.05","7.13","301.16","74","2.23","99","Anambra","55265","2024-02-22","dry","3.0705456677960967"
"Agulu","6.1","7.02","301.48","72","2.2","98","Anambra","172910","2024-02-22","dry","2.7536339088558073"
"Agulu","6.11","7.08","301.77","73","2.15","98","Anambra","43449","2024-02-22","dry","3.1026314219038227"
"Agulu","6.11","7.1","301.66","73","2.14","98","Anambra","45611","2024-02-22","dry","2.734008717322773"
"Agulu","6.08","7.19","301.45","74","2.14","99","Anambra","57209","2024-02-22","dry","2.5770197377382185"
"Agulu","6.15","7.1","301.67","72","2.07","97","Anambra","67838","2024-02-22","dry","2.6238837471551273"
"Agulu","6.03","7.25","301.65","75","2.19","100","Anambra","57921","2024-02-22","dry","2.6952526195415993"
"Agulu","6.07","7.25","301.46","75","2.13","99","Anambra","52471","2024-02-22","dry","2.829202187971064"
