battery_id,brand,type,capacity_ah,voltage,derating_factor,price_min,price_max
Amaron Quanta_12V_280Ah_106,Amaron Quanta,AGM,280.0,12.0,0.85,377968.0,629948.0
Amaron Quanta_24V_230Ah_189,Amaron Quanta,AGM,230.0,24.0,0.82,482472.0,804120.0
Amaron Quanta_48V_170Ah_254,Amaron Quanta,AGM,170.0,48.0,0.84,674980.0,1124968.0
Amaron Quanta_48V_90Ah_277,Amaron Quanta,AGM,90.0,48.0,0.85,445420.0,742368.0
Amaron Quanta_12V_60Ah_336,Amaron Quanta,AGM,60.0,12.0,0.85,553012.0,921688.0
Amaron Quanta_24V_40Ah_352,Amaron Quanta,AGM,40.0,24.0,0.82,649134.0,1081890.0
Amaron Quanta_24V_130Ah_411,Amaron Quanta,AGM,130.0,24.0,0.82,641340.0,1068900.0
Amaron Quanta_48V_280Ah_432,Amaron Quanta,AGM,280.0,48.0,0.84,347248.0,578748.0
Amaron Quanta_48V_120Ah_458,Amaron Quanta,AGM,120.0,48.0,0.82,318694.0,531158.0
Amaron Quanta_24V_70Ah_564,Amaron Quanta,AGM,70.0,24.0,0.84,632537.0,1054229.0
Amaron Quanta_48V_40Ah_715,Amaron Quanta,AGM,40.0,48.0,0.82,307339.0,512231.0
Amaron Quanta_48V_20Ah_724,Amaron Quanta,AGM,20.0,48.0,0.84,492658.0,821096.0
Amaron Quanta_12V_140Ah_812,Amaron Quanta,AGM,140.0,12.0,0.82,481609.0,802681.0
Amaron Quanta_48V_80Ah_870,Amaron Quanta,AGM,80.0,48.0,0.82,491991.0,819985.0
Amaron Quanta_12V_220Ah_873,Amaron Quanta,AGM,220.0,12.0,0.83,537388.0,895646.0
Amaron Quanta_12V_200Ah_994,Amaron Quanta,AGM,200.0,12.0,0.84,559391.0,932319.0
Amaron Quanta_12V_220Ah_1173,Amaron Quanta,AGM,220.0,12.0,0.83,319033.0,531721.0
Amaron Quanta_48V_80Ah_1233,Amaron Quanta,AGM,80.0,48.0,0.85,644012.0,1073352.0
Amaron Quanta_24V_240Ah_1415,Amaron Quanta,AGM,240.0,24.0,0.83,412849.0,688081.0
Amaron Quanta_24V_200Ah_1461,Amaron Quanta,AGM,200.0,24.0,0.83,312441.0,520735.0
