controller_id,brand,type,max_voltage_V,max_current_A,derating_factor,price_min,price_max
Anern_MPPT_36V_65A_22,Anern,MPPT,36.0,65.0,0.95,77606.0,129342.0
Anern_MPPT_36V_80A_28,Anern,MPPT,36.0,80.0,0.95,70350.0,117250.0
Anern_MPPT_24V_80A_44,Anern,MPPT,24.0,80.0,0.94,100532.0,167554.0
Anern_MPPT_60V_70A_62,Anern,MPPT,60.0,70.0,0.94,101780.0,169632.0
Anern_MPPT_36V_30A_93,Anern,MPPT,36.0,30.0,0.95,61118.0,101864.0
Anern_MPPT_36V_95A_145,Anern,MPPT,36.0,95.0,0.95,72169.0,120281.0
Anern_MPPT_24V_20A_163,Anern,MPPT,24.0,20.0,0.94,65610.0,109350.0
Anern_MPPT_36V_100A_164,Anern,MPPT,36.0,100.0,0.91,83639.0,139399.0
Anern_MPPT_12V_60A_220,Anern,MPPT,12.0,60.0,0.93,84926.0,141544.0
Anern_MPPT_60V_70A_249,Anern,MPPT,60.0,70.0,0.91,87640.0,146066.0
Anern_MPPT_60V_25A_291,Anern,MPPT,60.0,25.0,0.93,110278.0,183796.0
Anern_MPPT_12V_25A_319,Anern,MPPT,12.0,25.0,0.93,90564.0,150940.0
Anern_MPPT_48V_80A_340,Anern,MPPT,48.0,80.0,0.91,78158.0,130264.0
Anern_MPPT_36V_10A_367,Anern,MPPT,36.0,10.0,0.93,74324.0,123872.0
Anern_MPPT_150V_55A_391,Anern,MPPT,150.0,55.0,0.93,66994.0,111656.0
Anern_MPPT_150V_35A_430,Anern,MPPT,150.0,35.0,0.92,107465.0,179109.0
Anern_MPPT_36V_95A_436,Anern,MPPT,36.0,95.0,0.92,83045.0,138409.0
Anern_MPPT_12V_50A_439,Anern,MPPT,12.0,50.0,0.92,62045.0,103409.0
Anern_MPPT_12V_40A_454,Anern,MPPT,12.0,40.0,0.91,105985.0,176641.0
Anern_MPPT_150V_55A_500,Anern,MPPT,150.0,55.0,0.93,97580.0,162632.0
Anern_MPPT_100V_20A_516,Anern,MPPT,100.0,20.0,0.95,89038.0,148398.0
Anern_MPPT_48V_85A_520,Anern,MPPT,48.0,85.0,0.92,78584.0,130972.0
Anern_MPPT_36V_45A_539,Anern,MPPT,36.0,45.0,0.95,68392.0,113988.0
Anern_MPPT_60V_25A_563,Anern,MPPT,60.0,25.0,0.95,74055.0,123425.0
Anern_MPPT_12V_15A_565,Anern,MPPT,12.0,15.0,0.94,107701.0,179501.0
Anern_MPPT_48V_75A_594,Anern,MPPT,48.0,75.0,0.92,84485.0,140809.0
