inverter_id,brand,rated_power_w,voltage_input,voltage_output,mode,derating_factor,price_min,price_max
Blue Gate_16050W_60,Blue Gate,16050.0,96.0,220.0,Battery-Based,0.9,628064.0,1046774.0
Blue Gate_1900W_85,Blue Gate,1900.0,240.0,220.0,Battery-Based,0.87,60200.0,100334.0
Blue Gate_8100W_88,Blue Gate,8100.0,48.0,220.0,Battery-Based,0.89,222763.0,371271.0
Blue Gate_15550W_122,Blue Gate,15550.0,12.0,220.0,Battery-Based,0.87,617096.0,1028492.0
Blue Gate_1450W_144,Blue Gate,1450.0,12.0,220.0,Battery-Based,0.89,58198.0,96998.0
Blue Gate_7000W_211,Blue Gate,7000.0,96.0,220.0,Battery-Based,0.87,210128.0,350214.0
Blue Gate_9800W_215,Blue Gate,9800.0,12.0,220.0,Battery-Based,0.87,230583.0,384305.0
Blue Gate_1350W_336,Blue Gate,1350.0,12.0,220.0,Battery-Based,0.89,45746.0,76244.0
Blue Gate_5150W_370,Blue Gate,5150.0,240.0,220.0,Battery-Based,0.91,131326.0,218876.0
Blue Gate_8700W_406,Blue Gate,8700.0,24.0,220.0,Battery-Based,0.9,281302.0,468836.0
Blue Gate_13550W_572,Blue Gate,13550.0,96.0,220.0,Battery-Based,0.91,479386.0,798978.0
Blue Gate_13600W_865,Blue Gate,13600.0,240.0,220.0,Battery-Based,0.92,566236.0,943728.0
Blue Gate_19000W_897,Blue Gate,19000.0,12.0,220.0,Battery-Based,0.91,728942.0,1214904.0
Blue Gate_17750W_1078,Blue Gate,17750.0,96.0,220.0,Battery-Based,0.89,578701.0,964501.0
Blue Gate_12100W_1115,Blue Gate,12100.0,240.0,220.0,Battery-Based,0.88,448934.0,748222.0
Blue Gate_17350W_1148,Blue Gate,17350.0,24.0,220.0,Battery-Based,0.88,462431.0,770719.0
Blue Gate_19850W_1190,Blue Gate,19850.0,240.0,220.0,Battery-Based,0.92,882688.0,1471148.0
Blue Gate_6500W_1208,Blue Gate,6500.0,240.0,220.0,Battery-Based,0.9,182492.0,304152.0
Blue Gate_15100W_1218,Blue Gate,15100.0,240.0,220.0,Battery-Based,0.91,655174.0,1091956.0
