panel_id,brand,panel_type,rated_power_w,voltage,derating_factor,cabling_loss,safety_factor,length_m,width_m,area_m2,price_min,price_max
Auxano Solar_600W_Bifacial_103,Auxano Solar,Bifacial,600.0,36.0,0.79,0.05,0.12,2.03,1.0,2.03,142787.0,237979.0
Auxano Solar_80W_Bifacial_136,Auxano Solar,Bifacial,80.0,12.0,0.8,0.05,0.09,1.26,0.55,0.69,17540.0,29232.0
Auxano Solar_390W_Bifacial_150,Auxano Solar,Bifacial,390.0,24.0,0.8,0.05,0.11,1.74,0.99,1.72,90334.0,150558.0
Auxano Solar_500W_Bifacial_165,Auxano Solar,Bifacial,500.0,36.0,0.8,0.06,0.1,2.01,1.0,2.01,112245.0,187075.0
Auxano Solar_200W_Bifacial_209,Auxano Solar,Bifacial,200.0,12.0,0.8,0.05,0.08,1.55,0.9,1.4,44081.0,73469.0
Auxano Solar_430W_Bifacial_225,Auxano Solar,Bifacial,430.0,12.0,0.81,0.05,0.09,1.93,0.99,1.91,106490.0,177484.0
Auxano Solar_100W_Bifacial_299,Auxano Solar,Bifacial,100.0,24.0,0.82,0.05,0.09,1.09,0.66,0.72,20594.0,34324.0
Auxano Solar_60W_Bifacial_348,Auxano Solar,Bifacial,60.0,12.0,0.8,0.04,0.09,1.25,0.67,0.84,15288.0,25480.0
Auxano Solar_310W_Bifacial_384,Auxano Solar,Bifacial,310.0,36.0,0.8,0.06,0.11,1.63,0.96,1.56,80684.0,134474.0
Auxano Solar_120W_Bifacial_463,Auxano Solar,Bifacial,120.0,36.0,0.8,0.06,0.08,1.13,0.54,0.61,24828.0,41380.0
Auxano Solar_140W_Bifacial_561,Auxano Solar,Bifacial,140.0,12.0,0.78,0.06,0.1,1.14,0.6,0.68,24341.0,40569.0
Auxano Solar_190W_Bifacial_607,Auxano Solar,Bifacial,190.0,36.0,0.79,0.05,0.08,1.55,0.89,1.38,33161.0,55269.0
Auxano Solar_420W_Bifacial_647,Auxano Solar,Bifacial,420.0,12.0,0.81,0.04,0.09,1.86,1.0,1.86,94955.0,158259.0
Auxano Solar_440W_Bifacial_721,Auxano Solar,Bifacial,440.0,36.0,0.79,0.04,0.09,1.83,1.0,1.83,88118.0,146862.0
