component_id,brand,component_type,price_min,price_max,type,capacity_ah,voltage,derating_factor,max_voltage_V,max_current_A,rated_power_w,voltage_input,voltage_output,mode,panel_type,cabling_loss,safety_factor,area_m2
Amaron Quanta_12V_280Ah_106,Amaron Quanta,batteries_synth,377968.0,629948.0,AGM,280.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_24V_230Ah_189,Amaron Quanta,batteries_synth,482472.0,804120.0,AGM,230.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_48V_170Ah_254,Amaron Quanta,batteries_synth,674980.0,1124968.0,AGM,170.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_48V_90Ah_277,Amaron Quanta,batteries_synth,445420.0,742368.0,AGM,90.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_12V_60Ah_336,Amaron Quanta,batteries_synth,553012.0,921688.0,AGM,60.0,12.0,0.85,,,,,,,,,,
Amaron Quanta_24V_40Ah_352,Amaron Quanta,batteries_synth,649134.0,1081890.0,AGM,40.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_24V_130Ah_411,Amaron Quanta,batteries_synth,641340.0,1068900.0,AGM,130.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_48V_280Ah_432,Amaron Quanta,batteries_synth,347248.0,578748.0,AGM,280.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_48V_120Ah_458,Amaron Quanta,batteries_synth,318694.0,531158.0,AGM,120.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_24V_70Ah_564,Amaron Quanta,batteries_synth,632537.0,1054229.0,AGM,70.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_40Ah_715,Amaron Quanta,batteries_synth,307339.0,512231.0,AGM,40.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_48V_20Ah_724,Amaron Quanta,batteries_synth,492658.0,821096.0,AGM,20.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_12V_140Ah_812,Amaron Quanta,batteries_synth,481609.0,802681.0,AGM,140.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_48V_80Ah_870,Amaron Quanta,batteries_synth,491991.0,819985.0,AGM,80.0,48.0,0.82,,,,,,,,,,
Amaron Quanta_12V_220Ah_873,Amaron Quanta,batteries_synth,537388.0,895646.0,AGM,220.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_12V_200Ah_994,Amaron Quanta,batteries_synth,559391.0,932319.0,AGM,200.0,12.0,0.84,,,,,,,,,,
Amaron Quanta_12V_220Ah_1173,Amaron Quanta,batteries_synth,319033.0,531721.0,AGM,220.0,12.0,0.83,,,,,,,,,,
Amaron Quanta_48V_80Ah_1233,Amaron Quanta,batteries_synth,644012.0,1073352.0,AGM,80.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_24V_240Ah_1415,Amaron Quanta,batteries_synth,412849.0,688081.0,AGM,240.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_24V_200Ah_1461,Amaron Quanta,batteries_synth,312441.0,520735.0,AGM,200.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_20Ah_1519,Amaron Quanta,batteries_synth,564868.0,941448.0,AGM,20.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_24V_50Ah_1603,Amaron Quanta,batteries_synth,318426.0,530710.0,AGM,50.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_24V_30Ah_1754,Amaron Quanta,batteries_synth,632780.0,1054632.0,AGM,30.0,24.0,0.83,,,,,,,,,,
Amaron Quanta_48V_170Ah_1966,Amaron Quanta,batteries_synth,415028.0,691712.0,AGM,170.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_250Ah_2004,Amaron Quanta,batteries_synth,415463.0,692439.0,AGM,250.0,24.0,0.82,,,,,,,,,,
Amaron Quanta_48V_90Ah_2010,Amaron Quanta,batteries_synth,644924.0,1074874.0,AGM,90.0,48.0,0.84,,,,,,,,,,
Amaron Quanta_24V_230Ah_2051,Amaron Quanta,batteries_synth,315640.0,526068.0,AGM,230.0,24.0,0.84,,,,,,,,,,
Amaron Quanta_48V_160Ah_2064,Amaron Quanta,batteries_synth,344050.0,573416.0,AGM,160.0,48.0,0.85,,,,,,,,,,
Amaron Quanta_48V_90Ah_2187,Amaron Quanta,batteries_synth,600806.0,1001344.0,AGM,90.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_70Ah_2194,Amaron Quanta,batteries_synth,604173.0,1006955.0,AGM,70.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_48V_120Ah_2252,Amaron Quanta,batteries_synth,564833.0,941389.0,AGM,120.0,48.0,0.83,,,,,,,,,,
Amaron Quanta_12V_120Ah_2277,Amaron Quanta,batteries_synth,503487.0,839145.0,AGM,120.0,12.0,0.82,,,,,,,,,,
Amaron Quanta_24V_260Ah_2565,Amaron Quanta,batteries_synth,378887.0,631479.0,AGM,260.0,24.0,0.82,,,,,,,,,,
